Time,Stock 0 Ground Truth,Stock 0 Prediction,Stock 1 Ground Truth,Stock 1 Prediction,Stock 2 Ground Truth,Stock 2 Prediction,Stock 3 Ground Truth,Stock 3 Prediction,Stock 4 Ground Truth,Stock 4 Prediction,Stock 5 Ground Truth,Stock 5 Prediction,Stock 6 Ground Truth,Stock 6 Prediction,Stock 7 Ground Truth,Stock 7 Prediction
113,-0.0009505839,0.72808915,-0.011811018,0.97372514,-0.0059940424,0.83149594,-0.0056501767,0.7630539,-0.009448522,0.8589126,0.020189539,0.69673043,-0.0038628406,0.77793187,0.004149659,0.90141743
114,0.0,0.725999,-0.0092957625,0.9598002,-0.014000062,0.8229515,-0.008522268,0.76283324,0.0011923658,0.8525872,0.024232361,0.7021092,-0.013959445,0.7754564,-0.0123965265,0.902707
115,0.03575485,0.7307893,-0.0013411917,0.95106804,0.028608201,0.8165154,-0.008595444,0.7608335,0.011015657,0.85104674,0.0019711207,0.7189471,0.01356699,0.7651944,-0.0052299527,0.9013652
116,-0.01193453,0.73749876,-0.010737542,0.94995224,-0.0090889465,0.82069665,-0.01926781,0.7579177,-0.010159558,0.85898584,0.014167831,0.718149,-0.0077589243,0.77348566,-0.010515986,0.9031613
117,0.023787297,0.7342373,-0.01899624,0.9438029,0.005930995,0.81574106,-0.011788851,0.7581589,0.0023800507,0.85091525,0.009701559,0.73103213,0.006646207,0.77357376,-0.013814396,0.90849525
118,-0.009620296,0.7456131,-0.0013827272,0.92023695,-0.0016455986,0.8169327,0.010934964,0.748718,0.004154627,0.8517707,0.010377081,0.74946713,0.0046613356,0.7752858,-0.006465985,0.9025262
119,0.0031158559,0.735186,0.0027693466,0.92300695,0.004464383,0.8160075,0.002950092,0.7456358,0.0022174928,0.85174704,0.0011405493,0.746367,0.015658058,0.7772044,0.0065080663,0.9022535
120,-0.007674104,0.7423786,-0.0041436455,0.9288853,-0.003145742,0.82089865,0.013724926,0.7466795,0.008699112,0.854621,-0.013677981,0.75252527,0.0076139346,0.7851492,-0.0010782325,0.9013401
121,-0.012336784,0.73992133,-0.011094963,0.9295566,-0.014331729,0.8175353,-0.015473103,0.75405955,-0.009940206,0.8613597,-0.020030254,0.74637043,0.0032113804,0.7919192,0.015102424,0.8963756
122,0.024421535,0.7311742,0.018232398,0.91029596,0.014609984,0.8077196,0.014734765,0.73550946,0.002510605,0.8492102,0.01650851,0.73084307,0.011672972,0.7892454,0.02337997,0.8944107
